ID,Location,Country,Parking Available,Weather,Temperature,Rain,Wind Speed,Description
890,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
891,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
892,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
893,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
894,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
895,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
896,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
897,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
898,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
899,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
900,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
901,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
902,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
903,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
904,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
905,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
906,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
907,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
908,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
909,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
910,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
911,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
912,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
913,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
914,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
915,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
916,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
917,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
918,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
919,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
920,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
921,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
922,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
923,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
924,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
925,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
926,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
927,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
928,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
929,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
930,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
931,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
932,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
933,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
934,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
935,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
936,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
937,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
938,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
939,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
940,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
941,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
942,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
943,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
944,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
945,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
946,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
947,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
948,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
949,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
950,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
951,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
952,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
953,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
954,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
955,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
956,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
957,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
958,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
959,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
960,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
961,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
962,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
963,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
964,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
965,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
966,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
967,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
968,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
969,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
970,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
971,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
972,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
973,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
974,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
975,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
976,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
977,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
978,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
979,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
980,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
981,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
982,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
983,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
984,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
985,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
986,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
987,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
988,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
989,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
990,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
991,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
992,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
993,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
994,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
995,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
996,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
997,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
998,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
999,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
1000,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
1001,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
1002,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1003,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1004,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
1005,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1006,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1007,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
1008,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1009,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1010,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
1011,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
1012,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1013,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1014,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
1015,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1016,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1017,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
1018,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1019,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
1020,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
1021,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
1022,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1023,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1024,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
1025,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1026,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1027,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
1028,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1029,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
1030,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
1031,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
1032,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1033,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1034,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
1035,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1036,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1037,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
1038,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1039,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1040,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
1041,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
1042,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1043,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1044,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
1045,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1046,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1047,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
1048,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1049,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
1050,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
1051,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
1052,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1053,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1054,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
1055,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1056,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1057,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
1058,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1059,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
1060,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
1061,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
1062,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1063,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1064,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
1065,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1066,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1067,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
1068,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1069,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1070,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
1071,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
1072,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1073,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1074,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
1075,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1076,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1077,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
1078,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1079,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
1080,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
1081,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
1082,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1083,Sydney Opera House,Australia,No,Windy,18,Heavy,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1084,Taj Mahal,India,Yes,Snowy,19,None,9,"Information about Taj Mahal in India, weather condition: Snowy."
1085,Mount Fuji,Japan,No,Foggy,20,Light,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1086,Christ the Redeemer,Brazil,Yes,Sunny,21,Moderate,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1087,Big Ben,UK,No,Cloudy,22,Heavy,12,"Information about Big Ben in UK, weather condition: Cloudy."
1088,Eiffel Tower,France,Yes,Rainy,23,None,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1089,Great Wall of China,China,No,Windy,24,Light,14,"Information about Great Wall of China in China, weather condition: Windy."
1090,Central Park,USA,Yes,Snowy,25,Moderate,15,"Information about Central Park in USA, weather condition: Snowy."
1091,Times Square,Canada,No,Foggy,26,Heavy,16,"Information about Times Square in Canada, weather condition: Foggy."
1092,Berlin Wall,Germany,Yes,Sunny,27,None,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1093,Sydney Opera House,Australia,No,Cloudy,28,Light,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1094,Taj Mahal,India,Yes,Rainy,29,Moderate,19,"Information about Taj Mahal in India, weather condition: Rainy."
1095,Mount Fuji,Japan,No,Windy,30,Heavy,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1096,Christ the Redeemer,Brazil,Yes,Snowy,31,None,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1097,Big Ben,UK,No,Foggy,32,Light,7,"Information about Big Ben in UK, weather condition: Foggy."
1098,Eiffel Tower,France,Yes,Sunny,33,Moderate,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1099,Great Wall of China,China,No,Cloudy,34,Heavy,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1100,Central Park,USA,Yes,Rainy,35,None,10,"Information about Central Park in USA, weather condition: Rainy."
1101,Times Square,Canada,No,Windy,36,Light,11,"Information about Times Square in Canada, weather condition: Windy."
1102,Berlin Wall,Germany,Yes,Snowy,37,Moderate,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1103,Sydney Opera House,Australia,No,Foggy,38,Heavy,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1104,Taj Mahal,India,Yes,Sunny,39,None,14,"Information about Taj Mahal in India, weather condition: Sunny."
1105,Mount Fuji,Japan,No,Cloudy,40,Light,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1106,Christ the Redeemer,Brazil,Yes,Rainy,41,Moderate,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1107,Big Ben,UK,No,Windy,42,Heavy,17,"Information about Big Ben in UK, weather condition: Windy."
1108,Eiffel Tower,France,Yes,Snowy,43,None,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1109,Great Wall of China,China,No,Foggy,44,Light,19,"Information about Great Wall of China in China, weather condition: Foggy."
1110,Central Park,USA,Yes,Sunny,15,Moderate,5,"Information about Central Park in USA, weather condition: Sunny."
1111,Times Square,Canada,No,Cloudy,16,Heavy,6,"Information about Times Square in Canada, weather condition: Cloudy."
1112,Berlin Wall,Germany,Yes,Rainy,17,None,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
1113,Sydney Opera House,Australia,No,Windy,18,Light,8,"Information about Sydney Opera House in Australia, weather condition: Windy."
1114,Taj Mahal,India,Yes,Snowy,19,Moderate,9,"Information about Taj Mahal in India, weather condition: Snowy."
1115,Mount Fuji,Japan,No,Foggy,20,Heavy,10,"Information about Mount Fuji in Japan, weather condition: Foggy."
1116,Christ the Redeemer,Brazil,Yes,Sunny,21,None,11,"Information about Christ the Redeemer in Brazil, weather condition: Sunny."
1117,Big Ben,UK,No,Cloudy,22,Light,12,"Information about Big Ben in UK, weather condition: Cloudy."
1118,Eiffel Tower,France,Yes,Rainy,23,Moderate,13,"Information about Eiffel Tower in France, weather condition: Rainy."
1119,Great Wall of China,China,No,Windy,24,Heavy,14,"Information about Great Wall of China in China, weather condition: Windy."
1120,Central Park,USA,Yes,Snowy,25,None,15,"Information about Central Park in USA, weather condition: Snowy."
1121,Times Square,Canada,No,Foggy,26,Light,16,"Information about Times Square in Canada, weather condition: Foggy."
1122,Berlin Wall,Germany,Yes,Sunny,27,Moderate,17,"Information about Berlin Wall in Germany, weather condition: Sunny."
1123,Sydney Opera House,Australia,No,Cloudy,28,Heavy,18,"Information about Sydney Opera House in Australia, weather condition: Cloudy."
1124,Taj Mahal,India,Yes,Rainy,29,None,19,"Information about Taj Mahal in India, weather condition: Rainy."
1125,Mount Fuji,Japan,No,Windy,30,Light,5,"Information about Mount Fuji in Japan, weather condition: Windy."
1126,Christ the Redeemer,Brazil,Yes,Snowy,31,Moderate,6,"Information about Christ the Redeemer in Brazil, weather condition: Snowy."
1127,Big Ben,UK,No,Foggy,32,Heavy,7,"Information about Big Ben in UK, weather condition: Foggy."
1128,Eiffel Tower,France,Yes,Sunny,33,None,8,"Information about Eiffel Tower in France, weather condition: Sunny."
1129,Great Wall of China,China,No,Cloudy,34,Light,9,"Information about Great Wall of China in China, weather condition: Cloudy."
1130,Central Park,USA,Yes,Rainy,35,Moderate,10,"Information about Central Park in USA, weather condition: Rainy."
1131,Times Square,Canada,No,Windy,36,Heavy,11,"Information about Times Square in Canada, weather condition: Windy."
1132,Berlin Wall,Germany,Yes,Snowy,37,None,12,"Information about Berlin Wall in Germany, weather condition: Snowy."
1133,Sydney Opera House,Australia,No,Foggy,38,Light,13,"Information about Sydney Opera House in Australia, weather condition: Foggy."
1134,Taj Mahal,India,Yes,Sunny,39,Moderate,14,"Information about Taj Mahal in India, weather condition: Sunny."
1135,Mount Fuji,Japan,No,Cloudy,40,Heavy,15,"Information about Mount Fuji in Japan, weather condition: Cloudy."
1136,Christ the Redeemer,Brazil,Yes,Rainy,41,None,16,"Information about Christ the Redeemer in Brazil, weather condition: Rainy."
1137,Big Ben,UK,No,Windy,42,Light,17,"Information about Big Ben in UK, weather condition: Windy."
1138,Eiffel Tower,France,Yes,Snowy,43,Moderate,18,"Information about Eiffel Tower in France, weather condition: Snowy."
1139,Great Wall of China,China,No,Foggy,44,Heavy,19,"Information about Great Wall of China in China, weather condition: Foggy."
1140,Central Park,USA,Yes,Sunny,15,None,5,"Information about Central Park in USA, weather condition: Sunny."
1141,Times Square,Canada,No,Cloudy,16,Light,6,"Information about Times Square in Canada, weather condition: Cloudy."
1142,Berlin Wall,Germany,Yes,Rainy,17,Moderate,7,"Information about Berlin Wall in Germany, weather condition: Rainy."
